Dataset,Noise Level (λ),σ_ε,Naive RMSE,Seasonal RMSE
Dow Jones,0.0%,0.0,0.05112,0.170161
Dow Jones,0.5%,0.001194,0.051253,0.170119
Dow Jones,5.0%,0.011937,0.054976,0.170497
Dow Jones,10.0%,0.023874,0.063544,0.172489
S&P 500,0.0%,0.0,0.035254,0.110731
S&P 500,0.5%,0.001156,0.035306,0.110658
S&P 500,5.0%,0.011556,0.038919,0.111046
S&P 500,10.0%,0.023112,0.048058,0.113663
Lake Erie,0.0%,0.0,0.064225,0.141771
Lake Erie,0.5%,0.001005,0.064245,0.141763
Lake Erie,5.0%,0.010052,0.065755,0.142271
Lake Erie,10.0%,0.020104,0.070059,0.14405
Milk Production,0.0%,0.0,0.108947,0.060762
Milk Production,0.5%,0.001225,0.108879,0.06093
Milk Production,5.0%,0.012248,0.10944,0.064407
Milk Production,10.0%,0.024495,0.112494,0.071864
