Dataset,Noise,Naive_RMSE,Naive_r,Seasonal_RMSE,Seasonal_r,FFA_RMSE,FFA_r,Hybrid_RMSE,Hybrid_r,FFA_SS_Naive,FFA_SS_Seasonal,Hybrid_SS_Naive,Hybrid_SS_Seasonal
Dow Jones,0%,24.480775,0.917293,75.851225,0.372211,24.912000,0.916263,23.691900,0.922787,-1.76,67.16,3.22,68.77
Dow Jones,0.5%,24.516390,0.917048,75.866358,0.372015,24.382000,0.918016,24.250400,0.918710,0.55,67.86,1.08,68.04
Dow Jones,5%,26.243693,0.905666,76.389956,0.367557,25.838300,0.908408,25.686300,0.909079,1.54,66.18,2.12,66.37
Dow Jones,10%,30.628307,0.874687,77.773263,0.357249,30.478100,0.872886,30.971700,0.869589,0.49,60.81,-1.12,60.18
S&P 500,0%,11.178720,0.978053,44.707889,0.664196,11.382100,0.976995,11.297100,0.977230,-1.82,74.54,-1.06,74.73
S&P 500,0.5%,11.230698,0.977753,44.549166,0.666114,11.588300,0.976036,11.449033,0.976583,-3.18,73.99,-1.94,74.30
S&P 500,5%,13.774993,0.965361,43.724202,0.673560,13.609765,0.966169,13.123843,0.968164,1.20,68.87,4.73,69.98
S&P 500,10%,19.303436,0.930866,44.117241,0.659204,18.315312,0.937057,18.244130,0.937472,5.12,58.48,5.49,58.65
Lake Erie,0%,0.560988,0.919627,1.143585,0.842471,0.403365,0.956972,0.526845,0.931045,28.10,64.73,6.09,53.93
Lake Erie,0.5%,0.562178,0.919374,1.146494,0.841469,0.405469,0.956815,0.491259,0.938584,27.88,64.63,12.61,57.15
Lake Erie,5%,0.587201,0.913172,1.178525,0.830021,0.480476,0.937111,0.535682,0.928760,18.18,59.23,8.77,54.55
Lake Erie,10%,0.641943,0.898425,1.225679,0.812545,0.524219,0.931958,0.615449,0.911157,18.34,57.23,4.13,49.79
Milk Production,0%,48.076328,0.681994,28.097449,0.935167,17.360814,0.970626,31.493778,0.858186,63.89,38.21,34.49,-12.09
Milk Production,0.5%,48.045929,0.682729,28.170741,0.934855,27.866809,0.892286,26.630775,0.902861,42.00,1.08,44.57,5.47
Milk Production,5%,48.348584,0.683645,29.621539,0.926454,16.080974,0.965274,29.829614,0.887756,66.74,45.71,38.30,-0.70
Milk Production,10%,49.870926,0.673146,32.699336,0.905954,36.729766,0.810858,45.505128,0.726220,26.35,-12.33,8.75,-39.16
